caseNumber,caseLabel,profileIndex,velocityProfile,observedDepth_m,wavelength_m,initialPlanarVelocity_mps,nAdmissibleRoots,shallowOrSoleRoot_m,selectedDeepOrSoleRoot_m,allRoots_m
2,R2,10,uniform,2.44779785550782,4.41126480641055,2.67771696082558,0,NaN,NaN,
2,R2,11,uniform,2.49648227213038,4.93391121548319,2.96139807705444,0,NaN,NaN,
2,R2,12,uniform,2.54516681367022,4.42668452298999,2.84303891295669,0,NaN,NaN,
2,R2,13,uniform,2.5845862484457,4.72591463444101,2.80820995267315,0,NaN,NaN,
2,R2,14,uniform,2.57916925076461,4.87040493454198,2.7539857719594,1,2.57316743041531,2.57316743041531,2.57316743041531
2,R2,15,uniform,2.57375269133809,4.92114265247875,2.76453928347782,1,2.32129420776786,2.32129420776786,2.32129420776786
2,R2,16,uniform,2.56351595070919,4.83843498274863,2.7848981780467,0,NaN,NaN,
2,R2,17,uniform,2.55184894275953,5.13532762476159,2.78578391533935,1,1.68203956860331,1.68203956860331,1.68203956860331
2,R2,18,uniform,2.48381187612449,5.2259621207823,2.98198387129453,0,NaN,NaN,
2,R2,19,uniform,2.4141059060621,5.44100964059523,3.06207518929021,0,NaN,NaN,
2,R2,20,uniform,2.34439993600063,5.12604817551772,2.89531474103552,0,NaN,NaN,
2,R2,21,uniform,2.22254296006759,5.61472409279057,2.82458515344706,1,1.36551795455056,1.36551795455056,1.36551795455056
2,R2,1,linear,1.73906589100716,NaN,1.36302514477365,0,NaN,NaN,
2,R2,2,linear,1.84474388653234,NaN,1.61866121160539,0,NaN,NaN,
2,R2,3,linear,1.99674382123703,4.70000000000007,2.00364383499143,0,NaN,NaN,
2,R2,4,linear,1.98806661373055,4.35405393585043,2.20569495119565,0,NaN,NaN,
2,R2,5,linear,1.93173307542384,4.3933443516478,2.41076305879864,0,NaN,NaN,
2,R2,6,linear,1.87540009962686,4.12718990946617,2.43815554600267,0,NaN,NaN,
2,R2,7,linear,2.23464159986179,4.33954807981736,2.58876940750003,1,0.693990320372194,0.693990320372194,0.693990320372194
2,R2,8,linear,2.42687544791443,4.76671622537419,2.53166524323586,0,NaN,NaN,
2,R2,9,linear,2.40125043674834,4.82347636452844,2.80457210906826,1,0.896120110606167,0.896120110606167,0.896120110606167
2,R2,10,linear,2.44779785550782,4.41126480641055,2.67771696082558,1,0.811117041767779,0.811117041767779,0.811117041767779
2,R2,11,linear,2.49648227213038,4.93391121548319,2.96139807705444,0,NaN,NaN,
2,R2,12,linear,2.54516681367022,4.42668452298999,2.84303891295669,0,NaN,NaN,
